id,speech_id,person_id,surname
1424,2924925,24982,johnson
1425,2924926,34569,ramme
1426,2924927,24982,johnson
1427,2924928,34570,meyer
1428,2924929,24982,johnson
1429,2924930,34565,breuer
1430,2924931,24982,johnson
1431,2924932,34566,vebber
1432,2924933,24982,johnson
1433,2924934,34567,holte
1434,2924935,24982,johnson
1435,2924936,34568,schienebeck
1436,2924937,24982,johnson
1437,2924938,34568,schienebeck
1438,2924939,24982,johnson
1439,2924940,34569,ramme
1440,2924941,24982,johnson
1441,2924942,34570,meyer
1442,2924943,24982,johnson
1443,2924944,25821,lankford
1444,2924945,31457,thompson
1445,2924946,23582,goldenkoff
1446,2924947,33141,cha
1447,2924948,25821,lankford
1448,2924949,31457,thompson
1449,2924950,25821,lankford
1450,2924951,23582,goldenkoff
1451,2924952,25821,lankford
1452,2924953,33141,cha
1453,2924954,25821,lankford
1454,2924955,2976,carper
1455,2924956,25821,lankford
1456,2924957,2976,carper
1457,2924958,25821,lankford
1458,2924959,31457,thompson
1459,2924960,25821,lankford
1460,2924961,31457,thompson
1461,2924962,25821,lankford
1462,2924963,31457,thompson
1463,2924964,25821,lankford
1464,2924965,23582,goldenkoff
1465,2924966,25821,lankford
1466,2924967,23582,goldenkoff
1467,2924968,25821,lankford
1468,2924969,23582,goldenkoff
1469,2924970,25821,lankford
1470,2924971,33141,cha
1471,2924972,25821,lankford
1472,2924973,23582,goldenkoff
1473,2924974,25821,lankford
1474,2924975,23582,goldenkoff
1475,2924976,25821,lankford
1476,2924977,31457,thompson
1477,2924978,25821,lankford
1478,2924979,31457,thompson
1479,2924980,25821,lankford
1480,2924981,2976,carper
1481,2924982,25821,lankford
1482,2924983,2976,carper
1483,2924984,25821,lankford
1484,2924985,27063,ayotte
1485,2924986,31457,thompson
1486,2924987,27063,ayotte
1487,2924988,31457,thompson
1488,2924989,27063,ayotte
1489,2924990,31457,thompson
1490,2924991,27063,ayotte
1491,2924992,31457,thompson
1492,2924993,27063,ayotte
1493,2924994,31457,thompson
1494,2924995,27063,ayotte
1495,2924996,31457,thompson
1496,2924997,27063,ayotte
1497,2924998,31457,thompson
1498,2924999,27063,ayotte
1499,2925000,33141,cha
1500,2925001,27063,ayotte
1501,2925002,33141,cha
1502,2925003,27063,ayotte
1503,2925004,33141,cha
1504,2925005,27063,ayotte
1505,2925006,31457,thompson
1506,2925007,27063,ayotte
1507,2925008,25821,lankford
1508,2925009,20893,peters
1509,2925010,31457,thompson
1510,2925011,20893,peters
1511,2925012,31457,thompson
1512,2925013,20893,peters
1513,2925014,31457,thompson
1514,2925015,20893,peters
1515,2925016,31457,thompson
1516,2925017,20893,peters
1517,2925018,31457,thompson
1518,2925019,20893,peters
1519,2925020,31457,thompson
1520,2925021,20893,peters
1521,2925022,31457,thompson
1522,2925023,20893,peters
1523,2925024,31457,thompson
1524,2925025,20893,peters
1525,2925026,31457,thompson
1526,2925027,20893,peters
1527,2925028,31457,thompson
1528,2925029,20893,peters
1529,2925030,31457,thompson
1530,2925031,20893,peters
1531,2925032,25821,lankford
1532,2925033,31457,thompson
1533,2925034,25821,lankford
1534,2925035,31457,thompson
1535,2925036,25821,lankford
1536,2925037,2976,carper
1537,2925038,31457,thompson
1538,2925039,2976,carper
1539,2925040,31457,thompson
1540,2925041,2976,carper
1541,2925042,31457,thompson
1542,2925043,2976,carper
1543,2925044,31457,thompson
1544,2925045,2976,carper
1545,2925046,31457,thompson
1546,2925047,2976,carper
1547,2925048,31457,thompson
1548,2925049,2976,carper
1549,2925050,31457,thompson
1550,2925051,2976,carper
1551,2925052,31457,thompson
1552,2925053,2976,carper
1553,2925054,25821,lankford
1554,2925055,31457,thompson
1555,2925056,25821,lankford
1556,2925057,31457,thompson
1557,2925058,25821,lankford
1558,2925059,33141,cha
1559,2925060,25821,lankford
1560,2925061,33141,cha
1561,2925062,25821,lankford
1562,2925063,33141,cha
1563,2925064,25821,lankford
1564,2925065,31457,thompson
1565,2925066,25821,lankford
1566,2925067,31457,thompson
1567,2925068,25821,lankford
1568,2925069,31457,thompson
1569,2925070,25821,lankford
1570,2925071,31457,thompson
1571,2925072,25821,lankford
1572,2925073,31457,thompson
1573,2925074,25821,lankford
1574,2925075,31457,thompson
1575,2925076,25821,lankford
1576,2925077,31457,thompson
1577,2925078,25821,lankford
1578,2925079,2976,carper
1579,2925080,31457,thompson
1580,2925081,2976,carper
1581,2925082,31457,thompson
1582,2925083,2976,carper
1583,2925084,31457,thompson
1584,2925085,2976,carper
1585,2925086,33141,cha
1586,2925087,2976,carper
1587,2925088,33141,cha
1588,2925089,2976,carper
1589,2925090,31457,thompson
1590,2925091,2976,carper
1591,2925092,33141,cha
1592,2925093,2976,carper
1593,2925094,31457,thompson
1594,2925095,2976,carper
