committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
116,116,S,Committee on the Budget Budget,"Subcommittee on Terrorism, Technology and Homeland Security",SENATE,108,2
117,117,S,Committee on Veterans' Affairs Veterans' Affairs,"Subcommittee on Terrorism, Technology and Homeland Security",SENATE,108,2
118,118,S,Committee on Agriculture Agriculture,"Subcommittee on Terrorism, Technology and Homeland Security",HOUSE,109,2
119,119,S,Committee on Appropriations Appropriations,"Subcommittee on Terrorism, Technology and Homeland Security",HOUSE,109,1
120,120,S,Committee on Armed Services Armed Services,"Subcommittee on Terrorism, Technology and Homeland Security",HOUSE,109,2
121,121,S,Committee on Education and the Workforce,Subcommittee on 21st Century Competitiveness,HOUSE,109,1
122,122,S,Committee on Energy and Commerce,Subcommittee on Health,HOUSE,109,2
123,123,S,Committee on Financial Services,"Subcommittee on Domestic and International Monetary Policy, Trade, and Technology",HOUSE,109,2
124,124,S,Committee on Foreign Affairs Foreign Affairs,Subcommittee on Financial Institutions and Consumer Credit,HOUSE,109,1
125,125,S,Committee on Government Reform,Subcommittee on the Federal Workforce and Agency Organization,HOUSE,109,2
126,126,S,Committee on Homeland Security,"Subcommittee on Economic Security, Infrastructure Protection, and Cybersecurity",HOUSE,109,2
127,127,S,Committee on House Administration House Administration,"Subcommittee on Economic Security, Infrastructure Protection, and Cybersecurity",HOUSE,109,1
128,128,S,Committee on Natural Resources,International Relations,HOUSE,109,1
129,129,S,Committee on Science Science,Subcommittee on Water and Power,HOUSE,109,2
130,130,S,Committee on Small Business Small Business,Subcommittee on Energy,HOUSE,109,2
131,131,S,Committee on the Judiciary Judiciary,"Subcommittee on Rural Enterprises, Agriculture & Technology",HOUSE,109,1
132,132,S,Committee on Transportation and Infrastructure,Subcommittee on Water Resources and Environment,HOUSE,109,2
133,133,S,Committee on Transportation and Infrastructure,Subcommittee on Railroads,HOUSE,110,2
134,134,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Aviation,HOUSE,109,2
135,135,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Economic Opportunity,HOUSE,109,1
136,136,S,Committee on Ways and Means,Subcommittee on Human Resources,HOUSE,109,1
137,137,J,Joint Committee on the Library Joint Library,Subcommittee on Select Revenue Measures,HOUSE,109,2
138,138,L,Permanent Select Committee on Intelligence Intelligence (Permanent)  Subcommittee on Oversight and Investigations,Subcommittee on Select Revenue Measures,HOUSE,109,2
139,139,S,Committee on Small Business and Entrepreneurship,"Subcommittee on Rural Enterprises, Agriculture & Technology and Subcommittee on Tax, Finance and Exports",JOINT,109,2
140,140,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture","Subcommittee on Rural Enterprises, Agriculture & Technology and Subcommittee on Tax, Finance and Exports",SENATE,109,1
141,141,S,Committee on Appropriations Appropriations,"Subcommittee on Forestry, Conservation, and Rural Revitalization",SENATE,109,1
142,142,S,Committee on Armed Services Armed Services,"Subcommittee on Forestry, Conservation, and Rural Revitalization",SENATE,109,2
143,143,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Readiness and Management Support,SENATE,109,2
144,144,S,"Committee on Commerce, Science, and Transportation",Subcommittee on Surface Transportation and Merchant Marine,SENATE,109,1
145,145,S,Committee on Energy and Natural Resources,Subcommittee on National Parks,SENATE,109,2
146,146,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on Public Lands and Forests,SENATE,109,1
147,147,S,Committee on Foreign Relations Foreign Relations,"Subcommittee on Fisheries, Wildlife, and Water",SENATE,109,2
148,148,S,"Committee on Health, Education, Labor, and Pensions HELP",Subcommittee on International Operations and Terrorism,SENATE,109,2
149,149,S,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,SENATE,109,1
150,150,S,Committee on Indian Affairs Indian Affairs,"Federal Financial Management, Government Information, and International Security Subcommittee",SENATE,109,1
151,151,S,Committee on Judiciary Judiciary,"Federal Financial Management, Government Information, and International Security Subcommittee",SENATE,109,1
152,152,S,Committee on Judiciary Judiciary,"Subcommittee on Immigration, Border Security and Citizenship",SENATE,110,1
153,153,S,Committee on the Budget Budget,"Subcommittee on Immigration, Border Security and Citizenship",SENATE,109,2
154,154,S,Committee on Veterans' Affairs Veterans' Affairs,"Subcommittee on Immigration, Border Security and Citizenship",SENATE,109,2
155,155,S,Committee on Agriculture,Subcommittee on General Farm Commodities and Risk Management,HOUSE,110,1
156,156,S,Committee on Appropriations,Subcommittee on Energy and Water Development,HOUSE,110,2
157,157,S,Committee on Armed Services Armed Services,Subcommittee on Financial Services and General Government,HOUSE,110,2
158,158,S,Committee on Education and Labor Education and Labor,Oversight and Investigations Subcommittee,HOUSE,110,1
159,159,S,"Committee on Foreign Affairs Foreign Affairs  Subcommittee on International Organizations, Human Rights, and Oversight",Oversight and Investigations Subcommittee,HOUSE,110,1
160,160,L,Select Committee on Crime Crime,Oversight and Investigations Subcommittee,HOUSE,93,1
161,161,S,Committee on Energy and Commerce,Subcommittee on Health,HOUSE,110,1
162,162,S,"Committee on Ways and Means Ways and Means  Subcommittee on Domestic and International Monetary Policy, Trade, and Technology   Committee on Energy and Commerce   Committee on Energy and Commerce",Subcommittee on Health,HOUSE,110,1
163,163,S,Committee on Financial Services,Subcommittee on Housing and Community Opportunity,HOUSE,110,1
164,164,S,Committee on Foreign Affairs Foreign Affairs,Subcommittee on the Middle East and South Asia,HOUSE,110,2
165,165,S,Committee on Homeland Security,Subcommittee on the Western Hemisphere,HOUSE,110,1
166,166,S,Committee on House Administration House Administration,"Subcommittee on Emerging Threats, Cybersecurity and Science and Technology",HOUSE,110,1
167,167,S,Committee on House Administration House Administration,Subcommittee on Elections,HOUSE,111,1
168,168,S,Committee on Natural Resources,Subcommittee on Water and Power,HOUSE,110,1
169,169,S,Committee on Oversight and Government Reform,Subcommittee on Domestic Policy,HOUSE,110,2
170,170,S,Committee on Rules Rules,"Subcommittee on Government Management, Organization, and Procurement",HOUSE,110,1
171,171,S,Committee on Science and Technology Science and Technology,"Subcommittee on Government Management, Organization, and Procurement",HOUSE,110,1
172,172,S,Committee on Small Business,Subcommittee on Space and Aeronautics,HOUSE,110,2
173,173,S,Committee on the Budget The Budget,Subcommittee on Space and Aeronautics,HOUSE,110,1
174,174,S,Committee on the Judiciary,"Subcommittee on Crime, Terrorism, and Homeland Security",HOUSE,110,2
175,175,S,Committee on Veterans' Affairs,Subcommittee on Health,HOUSE,110,2
176,176,S,Committee on Ways and Means,Subcommittee on Select Revenue Measures,HOUSE,111,2
177,177,J,Joint Economic Committee,"Subcommittee on Federal Workforce, Postal Service, and the District of Columbia",HOUSE,110,2
178,178,S,Permanent Select Committee on Intelligence,"Subcommittee on Federal Workforce, Postal Service, and the District of Columbia",HOUSE,110,1
179,179,L,Select Committee on Energy Independence and Global Warming Energy Independence and Global,"Subcommittee on Federal Workforce, Postal Service, and the District of Columbia",HOUSE,110,1
180,180,S,Committee on Veterans' Affairs Veterans' Affairs,"Subcommittee on Federal Workforce, Postal Service, and the District of Columbia",JOINT,110,1
181,181,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture","Subcommittee on Federal Workforce, Postal Service, and the District of Columbia",SENATE,110,2
182,182,S,Committee on Appropriations Appropriations,"Subcommittee on Rural Revitalization, Conservation, Forestry and Credit",SENATE,110,1
183,183,S,Committee on Armed Services Armed Services,"Subcommittee on Transportation and Housing and Urban Development, and Related Agencies",SENATE,110,1
184,184,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Personnel,SENATE,110,1
185,185,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Technology, and Innovation",SENATE,110,2
